case_id	kind	image_id	expected_sha256	source_tex_path	alt	actual_text	language	advance	ascent	descent	origin_x	baseline	viewport_width	viewport_height	spacing_before	spacing_after	equation_number	minimum_gap	categories
aligned-block	math_vector_block	11	6cc383d938ca16986bf469d61a26842514d8a6ca09ee405a61f345b49cd07d7a	tex/aligned.tex	xたすyイコールz、xひくyイコールwを二行に整列した数式	-	inherit	7864320	2490368	786432	0	2359296	7864320	3145728	-	-	-	-	aligned,language-math-block-inherit
fraction-equality	math_vector	5	bce289809a11cdf3f6713f40dd34cd5df5091e602c16ec2194aae38ca147fd89	tex/fraction-equality.tex	2分の1と4分の2は等しい	-	inherit	4653056	1179648	458752	0	1114112	4587520	1572864	16384	16384	-	-	fill-opacity,fraction-equality,stroke-opacity
generic-block-inherit	vector_figure	10	d89da23032ca55c1580ab74b7df4da5f60151db9e783581b0eaa3a6a3d0c4149	-	二行二列の配置図	-	inherit	-	-	-	-	-	4194304	1835008	-	-	-	-	language-generic-block-inherit
generic-block-override	vector_figure	10	d89da23032ca55c1580ab74b7df4da5f60151db9e783581b0eaa3a6a3d0c4149	-	two by two diagram	-	en	-	-	-	-	-	4194304	1835008	-	-	-	-	language-generic-block-override
generic-inline-inherit	inline_vector	4	1d2a24ba4c7ecf28e586e988ffef2c079bded1397cf9994b89c5aa4cd5b8f7b3	-	丸括弧で囲んだ二項目	-	inherit	1900544	655360	196608	0	589824	1835008	786432	16384	16384	-	-	language-generic-inline-inherit
generic-inline-override	inline_vector	4	1d2a24ba4c7ecf28e586e988ffef2c079bded1397cf9994b89c5aa4cd5b8f7b3	-	two parenthesized items	-	en	1900544	655360	196608	0	589824	1835008	786432	16384	16384	-	-	language-generic-inline-override
integral	math_vector	7	41fdadda7b640bd078a8e01fb1b75015393260f61e1a68fa7c56b2fca4302a49	tex/integral.tex	0から1までのxの積分	-	inherit	2424832	1376256	524288	0	1310720	2359296	1835008	16384	16384	-	-	integral
large-brackets	math_vector	9	5c7d28eec697dbd540656bd8fecc12d939cf72361976aa4d093a5427eb71c25c	tex/large-brackets.tex	b分のaを大きな丸括弧で囲んだ式	-	inherit	2686976	1179648	458752	0	1114112	2621440	1572864	16384	16384	-	-	large-brackets
long-block	math_vector_block	12	4d6f0d111222b73a0b4ee07222a5c2f811deeba3c49871b6cf5dd9449bb82ec2	tex/long-block.tex	the sum from i equals 1 to n of i times i plus 1 over 2 equals n times n plus 1 times n plus 2 over 6, for every n greater than or equal to 1	-	en	29491200	1638400	524288	0	1572864	29491200	2097152	-	-	-	-	language-math-block-override,long-block
matrix	math_vector	10	d89da23032ca55c1580ab74b7df4da5f60151db9e783581b0eaa3a6a3d0c4149	tex/matrix.tex	a、b、c、dからなる二行二列の行列	-	inherit	4259840	1376256	524288	0	1310720	4194304	1835008	16384	16384	-	-	clip,matrix
not-divides	math_vector	3	86e348037849c2a22dedcc6fe2e3b1edd7f4726aecf190f20e71d6aa05001bf0	tex/not-divides.tex	2は8を割り切らない	-	inherit	2162688	720896	262144	0	655360	2097152	917504	16384	16384	-	-	not-divides,stroke
numbered-aligned	math_vector_block	11	6cc383d938ca16986bf469d61a26842514d8a6ca09ee405a61f345b49cd07d7a	tex/aligned.tex	xたすyイコールz、xひくyイコールwを二行に整列した数式	-	inherit	7864320	2490368	786432	0	2359296	7864320	3145728	-	-	(1)	65536	equation-number
ordered-pair	math_vector	4	1d2a24ba4c7ecf28e586e988ffef2c079bded1397cf9994b89c5aa4cd5b8f7b3	tex/ordered-pair.tex	aとbの順序対	-	inherit	1900544	655360	196608	0	589824	1835008	786432	16384	16384	-	-	ordered-pair
scripts	math_vector	8	1751c5e5f84430d2c50e37c26b864d627c65c4363693a50621394b6b20eaa456	tex/scripts.tex	xの下付きi、上付き2	-	inherit	2162688	983040	393216	0	917504	2097152	1310720	16384	16384	-	-	subscript,superscript
similar	math_vector	2	e6c73f43dbf919cbe7070cd45d1a4d2f6e4eecd074c57d27a343a319c8176d11	tex/similar.tex	x tilde y	x is similar to y	en	2162688	655360	196608	0	589824	2097152	786432	16384	16384	-	-	actual-text-authored,language-math-inline-override,similar
sum	math_vector	6	62d34051f9a4b1bd1f892bea41da64954569d8d31f2d3404d225e49090d8dab8	tex/sum.tex	1からnまでのiの総和	-	inherit	2818048	1179648	458752	0	1114112	2752512	1572864	16384	16384	-	-	sum
x-plus-y	math_vector	0	5e445b2594138fa918f94fd55bf698d4bfc8f5a82e48a14810a2d7a8bc0fca38	tex/x-plus-y.tex	xたすy	-	inherit	2031616	655360	196608	0	589824	1966080	786432	16384	16384	-	-	actual-text-alt-fallback,current-color,language-math-inline-inherit,x-plus-y
x-plus-y-alias	math_vector	1	5e445b2594138fa918f94fd55bf698d4bfc8f5a82e48a14810a2d7a8bc0fca38	tex/x-plus-y.tex	xたすy	-	inherit	2031616	655360	196608	0	589824	1966080	786432	16384	16384	-	-	same-content-alias
