case_id	expected_phase	expected_code	location	package_read	resource_opened	layout_started	pdf_started	visible_artifacts	owner_test
alternative-control	syntax	P1102	node:4/actual_text	true	false	false	false	diagnostics,manifest	precomposed_vector_alternative_validates_exact_source_resolution_language_and_number
ast-depth-max-plus-one	syntax	P1121	/document	true	false	false	false	diagnostics,manifest	precomposed_vector_limits_charge_once_at_exact_max_and_report_max_plus_one
ast-node-max-plus-one	syntax	P1120	/document	true	false	false	false	diagnostics,manifest	precomposed_vector_limits_charge_once_at_exact_max_and_report_max_plus_one
block-height-max-plus-one	layout	L5100	node:6	true	true	true	false	diagnostics,manifest	atomic_vector_block_rejects_svg_height_on_an_empty_page
block-width-max-plus-one	layout	L5100	node:6	true	true	true	false	diagnostics,manifest	math_vector_block_layout_rejects_viewport_wider_than_inner_frame
clip-alpha	resource	R7100	/resources/images/0	true	true	false	false	diagnostics,manifest	machine_precomposed_vector_negative_svg_corpus_and_side_effect_policy_are_terminal
content-key-tamper	content-form	I9190	/content_key	true	true	true	false	diagnostics,manifest	vector_content_candidates_reject_same_id_with_different_content
equation-number-collision	layout	L5100	node:7	true	true	true	false	diagnostics,manifest	math_vector_block_layout_rejects_number_collision_without_realignment
external-image	resource	R7100	/resources/images/0	true	true	false	false	diagnostics,manifest	machine_precomposed_vector_negative_svg_corpus_and_side_effect_policy_are_terminal
forbidden-script	resource	R7100	/resources/images/0	true	true	false	false	diagnostics,manifest	machine_precomposed_vector_negative_svg_corpus_and_side_effect_policy_are_terminal
form-object-tamper	pdf	I9190	/pdf/vector_form	true	true	true	true	diagnostics,manifest	safe_vector_pdf_final_observation_rejects_missing_and_wrong_rows
fragment-max-plus-one	layout	L5110	node:3	true	true	true	false	diagnostics,manifest	atomic_vector_block_fragment_charge_is_not_reset
hash-mismatch	resource	R7100	/resources/images/0/expected_sha256	true	true	false	false	diagnostics,manifest	safe_svg_2_declared_hash_mismatch_precedes_parser_work
inline-height-max-plus-one	layout	L5100	node:2	true	true	true	false	diagnostics,manifest	inline_vector_layout_rejects_dynamic_line_taller_than_empty_frame
inline-visual-overhang	layout	L5100	node:3	true	true	true	false	diagnostics,manifest	atomic_vector_inline_moves_whole_item_and_rejects_visual_overhang
invalid-alpha	resource	R7100	/resources/images/0	true	true	false	false	diagnostics,manifest	machine_precomposed_vector_negative_svg_corpus_and_side_effect_policy_are_terminal
ir-allocation-max-plus-one	resource	R7111	/resources/images/0	true	true	false	false	diagnostics,manifest	safe_svg_2_clip_closure_and_limits_are_bounded_and_inclusive
language-owner-tamper	structure	I9190	node:4/language	true	true	true	false	diagnostics,manifest	computed_language_v2_reuses_vector_override_charge_and_rejects_tamper
malformed-provenance	profile	P1102	/resources/images/0/vector_provenance	true	false	false	false	diagnostics,manifest	vector_content_candidates_enforce_conditional_hash_and_provenance
malformed-unclosed	resource	R7100	/resources/images/0	true	true	false	false	diagnostics,manifest	machine_precomposed_vector_negative_svg_corpus_and_side_effect_policy_are_terminal
manifest-link-tamper	manifest	I9190	/manifest	true	true	true	true	diagnostics,manifest	vector_build_manifest_closure_rejects_completed_child_without_its_owner_dependency
metric-baseline-outside	syntax	P1102	node:4/metrics/baseline	true	false	false	false	diagnostics,manifest	precomposed_vector_metrics_seals_relations_package_session_and_raw_payload
metric-missing	syntax	P1102	node:4/metrics	true	false	false	false	diagnostics,manifest	precomposed_vector_wire_conditional_errors_have_exact_p1102_pointers
native-flow-swap	binding	I9190	node:6/math_flow	true	true	false	false	diagnostics,manifest	native_and_vector_math_flow_isolation_keeps_terminals_exactly_once
nonuniform-scale	binding	P1102	node:4/metrics/viewport	true	true	false	false	diagnostics,manifest	precomposed_vector_scale_uses_one_half_even_scale_for_both_axes
old-profile-rejection	profile	P1102	/profile	true	false	false	false	diagnostics,manifest	precomposed_vector_staging_dispatch_retains_domain_and_rejects_legacy_profile
pdf-object-max-plus-one	pdf	G6100	/pdf/objects	true	true	true	true	diagnostics,manifest	complete_pdf_object_graph_budget_is_charged_once_before_allocation
resource-conflict	resource	R7100	/resources/images/0	true	true	false	false	diagnostics,manifest	vector_content_candidates_reject_same_id_with_different_content
source-span-invalid	syntax	P1102	node:4/source_tex/text_span	true	false	false	false	diagnostics,manifest	precomposed_vector_alternative_validates_exact_source_resolution_language_and_number
structure-owner-tamper	structure	I9190	/structure	true	true	true	false	diagnostics,manifest	vector_marked_content_serialization_v2_keeps_selection_owners_private_and_bound
style-registry-swap	style	I9190	node:6/style	true	false	false	false	diagnostics,manifest	precomposed_vector_profile_rejects_basic_computed_registry_receipt_swap_with_i9190
text-aggregate-max-plus-one	syntax	T2101	/text_buffers	true	false	false	false	diagnostics,manifest	precomposed_vector_limits_charge_once_at_exact_max_and_report_max_plus_one
text-buffer-max-plus-one	syntax	T2100	/text_buffers/0	true	false	false	false	diagnostics,manifest	precomposed_vector_limits_charge_once_at_exact_max_and_report_max_plus_one
unsupported-text	resource	R7100	/resources/images/0	true	true	false	false	diagnostics,manifest	machine_precomposed_vector_negative_svg_corpus_and_side_effect_policy_are_terminal
use-observation-tamper	pdf	I9190	/pdf/vector_use	true	true	true	true	diagnostics,manifest	safe_vector_pdf_final_observation_rejects_missing_and_wrong_rows
vector-depth-max-plus-one	resource	R7122	/resources/images/0	true	true	false	false	diagnostics,manifest	safe_svg_2_invalid_inputs_are_total_and_nesting_is_bounded
vector-node-max-plus-one	resource	R7120	/resources/images/0	true	true	false	false	diagnostics,manifest	safe_svg_2_clip_closure_and_limits_are_bounded_and_inclusive
vector-path-max-plus-one	resource	R7121	/resources/images/0	true	true	false	false	diagnostics,manifest	safe_svg_2_clip_closure_and_limits_are_bounded_and_inclusive
