image_id	media_type	uri	svg_path	expected_sha256	engine_id	engine_version	rules_version
0	svg-safe-2	math/sha256-5e445b2594138fa918f94fd55bf698d4bfc8f5a82e48a14810a2d7a8bc0fca38.svg	svg/x-plus-y.svg	5e445b2594138fa918f94fd55bf698d4bfc8f5a82e48a14810a2d7a8bc0fca38	vmb.texToSvg	2026.09.0	vmb.math-safe-svg/1
1	svg-safe-2	math/sha256-5e445b2594138fa918f94fd55bf698d4bfc8f5a82e48a14810a2d7a8bc0fca38.svg	svg/x-plus-y.svg	5e445b2594138fa918f94fd55bf698d4bfc8f5a82e48a14810a2d7a8bc0fca38	vmb.texToSvg.cache-replay	2026.09.0	vmb.math-safe-svg/1
2	svg-safe-2	math/sha256-e6c73f43dbf919cbe7070cd45d1a4d2f6e4eecd074c57d27a343a319c8176d11.svg	svg/similar.svg	e6c73f43dbf919cbe7070cd45d1a4d2f6e4eecd074c57d27a343a319c8176d11	vmb.texToSvg	2026.09.0	vmb.math-safe-svg/1
3	svg-safe-2	math/sha256-86e348037849c2a22dedcc6fe2e3b1edd7f4726aecf190f20e71d6aa05001bf0.svg	svg/not-divides.svg	86e348037849c2a22dedcc6fe2e3b1edd7f4726aecf190f20e71d6aa05001bf0	vmb.texToSvg	2026.09.0	vmb.math-safe-svg/1
4	svg-safe-2	math/sha256-1d2a24ba4c7ecf28e586e988ffef2c079bded1397cf9994b89c5aa4cd5b8f7b3.svg	svg/ordered-pair.svg	1d2a24ba4c7ecf28e586e988ffef2c079bded1397cf9994b89c5aa4cd5b8f7b3	vmb.texToSvg	2026.09.0	vmb.math-safe-svg/1
5	svg-safe-2	math/sha256-bce289809a11cdf3f6713f40dd34cd5df5091e602c16ec2194aae38ca147fd89.svg	svg/fraction-equality.svg	bce289809a11cdf3f6713f40dd34cd5df5091e602c16ec2194aae38ca147fd89	vmb.texToSvg	2026.09.0	vmb.math-safe-svg/1
6	svg-safe-2	math/sha256-62d34051f9a4b1bd1f892bea41da64954569d8d31f2d3404d225e49090d8dab8.svg	svg/sum.svg	62d34051f9a4b1bd1f892bea41da64954569d8d31f2d3404d225e49090d8dab8	vmb.texToSvg	2026.09.0	vmb.math-safe-svg/1
7	svg-safe-2	math/sha256-41fdadda7b640bd078a8e01fb1b75015393260f61e1a68fa7c56b2fca4302a49.svg	svg/integral.svg	41fdadda7b640bd078a8e01fb1b75015393260f61e1a68fa7c56b2fca4302a49	vmb.texToSvg	2026.09.0	vmb.math-safe-svg/1
8	svg-safe-2	math/sha256-1751c5e5f84430d2c50e37c26b864d627c65c4363693a50621394b6b20eaa456.svg	svg/scripts.svg	1751c5e5f84430d2c50e37c26b864d627c65c4363693a50621394b6b20eaa456	vmb.texToSvg	2026.09.0	vmb.math-safe-svg/1
9	svg-safe-2	math/sha256-5c7d28eec697dbd540656bd8fecc12d939cf72361976aa4d093a5427eb71c25c.svg	svg/large-brackets.svg	5c7d28eec697dbd540656bd8fecc12d939cf72361976aa4d093a5427eb71c25c	vmb.texToSvg	2026.09.0	vmb.math-safe-svg/1
10	svg-safe-2	math/sha256-d89da23032ca55c1580ab74b7df4da5f60151db9e783581b0eaa3a6a3d0c4149.svg	svg/matrix.svg	d89da23032ca55c1580ab74b7df4da5f60151db9e783581b0eaa3a6a3d0c4149	vmb.texToSvg	2026.09.0	vmb.math-safe-svg/1
11	svg-safe-2	math/sha256-6cc383d938ca16986bf469d61a26842514d8a6ca09ee405a61f345b49cd07d7a.svg	svg/aligned.svg	6cc383d938ca16986bf469d61a26842514d8a6ca09ee405a61f345b49cd07d7a	vmb.texToSvg	2026.09.0	vmb.math-safe-svg/1
12	svg-safe-2	math/sha256-4d6f0d111222b73a0b4ee07222a5c2f811deeba3c49871b6cf5dd9449bb82ec2.svg	svg/long-block.svg	4d6f0d111222b73a0b4ee07222a5c2f811deeba3c49871b6cf5dd9449bb82ec2	vmb.texToSvg	2026.09.0	vmb.math-safe-svg/1
